model,feature_alpha,roc_auc_clean,roc_auc_mean,roc_auc_drop
logreg_baseline,0.0,0.9955016835016834,0.9955016835016834,0.0
logreg_baseline,0.05,0.9955016835016834,0.9953160173160173,-0.00018566618566617787
logreg_baseline,0.1,0.9955016835016834,0.9952099223527795,-0.0002917611489039462
logreg_baseline,0.2,0.9955016835016834,0.9949954648526077,-0.0005062186490757403
logreg_baseline,0.3,0.9955016835016834,0.9945280010994297,-0.0009736824022537061
logreg_robust,0.0,0.9955016835016834,0.9955016835016834,0.0
logreg_robust,0.05,0.9955016835016834,0.9953973063973064,-0.00010437710437705139
logreg_robust,0.1,0.9955016835016834,0.9951589363017935,-0.00034274719988991453
logreg_robust,0.2,0.9955016835016834,0.9950003435717721,-0.0005013399299113042
logreg_robust,0.3,0.9955016835016834,0.9941864907579193,-0.0013151927437641264
rf_baseline,0.0,0.9907682608396894,0.9907682608396894,0.0
rf_baseline,0.05,0.9907682608396894,0.9907899402185116,2.167937882224802e-05
rf_baseline,0.1,0.9907682608396894,0.9906086373943517,-0.00015962344533770878
rf_baseline,0.2,0.9907682608396894,0.9899243454957741,-0.000843915343915258
rf_baseline,0.3,0.9907682608396894,0.9895996014567443,-0.0011686593829450809
rf_robust,0.0,0.9904511784511785,0.9904511784511785,0.0
rf_robust,0.05,0.9904511784511785,0.9906913351199066,0.0002401566687281198
rf_robust,0.1,0.9904511784511785,0.9906616505187934,0.00021047206761493076
rf_robust,0.2,0.9904511784511785,0.989715934858792,-0.0007352435923865253
rf_robust,0.3,0.9904511784511785,0.989242218099361,-0.0012089603518175007
svm_rbf_baseline,0.0,0.9959808974094689,0.9959808974094689,0.0
svm_rbf_baseline,0.05,0.9959808974094689,0.9959136260564831,-6.727135298578713e-05
svm_rbf_baseline,0.1,0.9959808974094689,0.9952966398680684,-0.0006842575414005569
svm_rbf_baseline,0.2,0.9959808974094689,0.9945549371263657,-0.001425960283103267
svm_rbf_baseline,0.3,0.9959808974094689,0.994845942417371,-0.0011349549920979252
svm_rbf_robust,0.0,0.9957184085755515,0.9957184085755515,0.0
svm_rbf_robust,0.05,0.9957184085755515,0.9956140314711743,-0.00010437710437716241
svm_rbf_robust,0.1,0.9957184085755515,0.9950888476602762,-0.000629560915275329
svm_rbf_robust,0.2,0.9957184085755515,0.9941874527588813,-0.0015309558166701764
svm_rbf_robust,0.3,0.9957184085755515,0.9945881948739091,-0.0011302137016423464
