model,feature_alpha,accuracy_mean,accuracy_std,precision_m_mean,precision_m_std,recall_m_mean,recall_m_std,specificity_b_mean,specificity_b_std,f1_m_mean,f1_m_std,roc_auc_mean,roc_auc_std
logreg_baseline,0.0,0.9771774569166279,0.013282845364893986,0.9862579281183933,0.020388267993642604,0.953045404208195,0.04665543606892094,0.9916275430359937,0.012444758925188247,0.9685349494446346,0.01909656089096241,0.9960349305133125,0.006147716335155112
logreg_baseline,0.05,0.9736686849868033,0.01639005477297223,0.982015503875969,0.02901752411434889,0.9483942414174973,0.05559671596335032,0.988849765258216,0.018116606854968454,0.96363523952354,0.023768758716604086,0.9959032836120947,0.006069909432345378
logreg_baseline,0.1,0.9771774569166279,0.00781113639089353,0.9775757575757575,0.03160825408583101,0.9623477297895903,0.031578457082190196,0.9860328638497652,0.01971167169729836,0.9691609349274494,0.010561879738182725,0.9961675089295463,0.0062124724312764765
logreg_baseline,0.2,0.9648967551622419,0.02318635499745278,0.9717374517374517,0.02936247673070543,0.9344407530454042,0.062344139915415736,0.9832159624413146,0.01816217374359919,0.9515216964318849,0.033224387623664024,0.9949097037002377,0.006287038626867158
logreg_baseline,0.3,0.968390001552554,0.013262459834094693,0.9690722414646213,0.043876359821064685,0.9481727574750831,0.04213582842104307,0.9804773082942096,0.028781939147004318,0.9571866406015503,0.017719615135480433,0.9952450707691455,0.005496422918986847
logreg_robust,0.0,0.9754230709517155,0.009577288676050575,0.9735177865612649,0.039118455466613127,0.9623477297895903,0.031578457082190196,0.9832550860719875,0.02488951785037648,0.966966577560678,0.012474703977184679,0.9964972652452181,0.005300013467921174
logreg_robust,0.05,0.9754230709517155,0.009577288676050563,0.9775757575757575,0.03160825408583101,0.9576965669988926,0.03845513953567973,0.9860328638497652,0.01971167169729836,0.9666337530291242,0.013304380402634658,0.9962333432117252,0.005707594036060243
logreg_robust,0.1,0.9701599130569788,0.014650425916164262,0.9613320999074931,0.05339181198276488,0.9623477297895903,0.031578457082190196,0.9748435054773082,0.03475722298608975,0.9604821282633654,0.01821644155175539,0.996298224315748,0.005913516518689845
logreg_robust,0.2,0.971914299021891,0.012982103923800092,0.9724862923047836,0.029230290012814148,0.953156146179402,0.04343641189397522,0.9832550860719875,0.018169651812083715,0.9618168894652536,0.018197711185032217,0.9950357615113592,0.005244379452734629
logreg_robust,0.3,0.9754075454122031,0.007302245686642941,0.9779575328614761,0.03765938716921266,0.9575858250276855,0.03075358575009485,0.9860719874804381,0.024056420286403587,0.9667435562678474,0.009354811437378718,0.9951131205839688,0.005362387120127654
rf_baseline,0.0,0.956078248719143,0.010680707992909232,0.9534975258659468,0.029615289467398862,0.9293466223698783,0.0494735960636406,0.9720266040688577,0.019677863914232603,0.9400291108449224,0.01616190483171917,0.9908242521450841,0.006471730071820024
rf_baseline,0.05,0.9525694767893184,0.018137907140271494,0.9548345153664302,0.041709658755060004,0.9200442967884829,0.0749398782500757,0.9720266040688577,0.027803251560975007,0.934474000317252,0.027919497176826725,0.991971499539875,0.00469658475813093
rf_baseline,0.1,0.9560937742586555,0.018553393236069363,0.95375830116021,0.03595898124775743,0.9294573643410853,0.05929816356387686,0.9720657276995306,0.024000282736466257,0.939892489964502,0.026879743570547607,0.9914913252122555,0.006757467409007487
rf_baseline,0.2,0.9508306163639186,0.01585179633075929,0.9578983639959249,0.03666002099337182,0.9105204872646733,0.05825490846426572,0.9748043818466353,0.022882474774878564,0.9319387277070778,0.023623867940542498,0.9909070161711007,0.0067046709948989655
rf_baseline,0.3,0.9455364073901569,0.018964098568922363,0.9486277408228627,0.0427588103461701,0.9057585825027685,0.06148847604566824,0.9692097026604068,0.026737359413472404,0.9248132090005324,0.02769298406600918,0.992146418563058,0.005096266103182089
rf_robust,0.0,0.9543238627542306,0.015640160650823333,0.934055959176613,0.050982621854734685,0.948062015503876,0.038524440331169856,0.9580594679186228,0.03541137064255987,0.9395354239256678,0.019090777930215876,0.9912879516548039,0.005771154728419773
rf_robust,0.05,0.9595870206489675,0.007794841371653694,0.9515739225313693,0.045048506875145354,0.9434108527131784,0.054040493413829584,0.9692097026604068,0.030220187408890917,0.9454849121524923,0.011241594043397866,0.9921392913900284,0.004837677633563235
rf_robust,0.1,0.9543549138332557,0.020890722557780014,0.9342607746863066,0.04974242497219924,0.9482834994462902,0.06271799948184918,0.9580594679186228,0.03541137064255987,0.9391067168302941,0.02849535432408006,0.9912183479862812,0.006098084594806523
rf_robust,0.2,0.9508306163639186,0.014587874090776876,0.9427227007629074,0.05692234383120529,0.9293466223698783,0.043964353358442884,0.9636150234741784,0.0376868412159679,0.9340180359904814,0.017820158416954016,0.9910271057871778,0.004830116847553713
rf_robust,0.3,0.9490451793199813,0.012959594790335439,0.9542632946888266,0.04011312302687332,0.9102990033222591,0.06711091373699088,0.9719874804381847,0.026142080958199313,0.9294273283420571,0.020419654632485663,0.9914810135576595,0.005406426136230571
svm_rbf_baseline,0.0,0.9736531594472908,0.0138452431632549,0.972121212121212,0.024108293708348733,0.9575858250276855,0.041916969838566985,0.9832550860719875,0.01519702528986225,0.9641222585886016,0.019290610161623166,0.9951811211801385,0.0063529781043994114
svm_rbf_baseline,0.05,0.9701288619779538,0.009981636077258807,0.982015503875969,0.02901752411434889,0.9387596899224807,0.04868807004178305,0.988849765258216,0.018116606854968454,0.9586991990654112,0.01485975777830067,0.9948523180426226,0.006311369879935837
svm_rbf_baseline,0.1,0.9718987734823784,0.007283571526518522,0.9775757575757575,0.03160825408583101,0.9481727574750831,0.04213582842104307,0.9860328638497652,0.01971167169729836,0.9615727502102608,0.010831362336667661,0.9948522963794828,0.006889551621033822
svm_rbf_baseline,0.2,0.9701599130569788,0.013272588410008885,0.9773643410852714,0.031803736818500676,0.9436323366555925,0.04856638356572664,0.9860328638497652,0.01971167169729836,0.9590458051279042,0.018852821343818996,0.994052796538057,0.005734868788267112
svm_rbf_baseline,0.3,0.971883247942866,0.0073259327382425915,0.9861471861471862,0.020454259142731492,0.9387596899224807,0.039487704927416045,0.9916275430359937,0.012444758925188247,0.9611265087115075,0.0109777513784234,0.993721198855493,0.005505177741179351
svm_rbf_robust,0.0,0.9701288619779538,0.013288333666260168,0.9730632411067193,0.03561958976537362,0.948062015503876,0.048316380647605316,0.9832550860719875,0.022810116823737774,0.9591546401558866,0.018420316815531704,0.9953773675645605,0.005364826731523169
svm_rbf_robust,0.05,0.971883247942866,0.013003438766564745,0.9821212121212121,0.028994473999327936,0.9434108527131784,0.054040493413829584,0.988849765258216,0.018116606854968454,0.9610515112813964,0.018830769323622012,0.9949874093830857,0.006197186942239494
svm_rbf_robust,0.1,0.9718987734823784,0.009566806708898501,0.973719806763285,0.03899840551916123,0.9528239202657808,0.04707250287457314,0.9832550860719875,0.02488951785037648,0.9617294900221729,0.013545340032523145,0.9955791813759387,0.005628406679582928
svm_rbf_robust,0.2,0.971914299021891,0.012982103923800092,0.9773643410852714,0.031803736818500676,0.9483942414174973,0.044825540271489404,0.9860328638497652,0.01971167169729836,0.9616383977204969,0.018177082713025906,0.9948457974375104,0.005183417335716301
svm_rbf_robust,0.3,0.9648657040832169,0.020547422478073632,0.9766100984705636,0.027296062212431384,0.9294573643410853,0.06389965278532096,0.9860328638497652,0.017010682872548914,0.951044878077757,0.030077465921792963,0.9935249957973509,0.005461334634837103
